,name,type,sector,mean_daily_return,annualized_return,daily_volatility,annualized_volatility,min_return,max_return
AXISBANK.NS,Axis Bank,Company,Banking,0.0006406206471763547,0.16143640308844137,0.015997970904603122,0.25395991497136133,-0.07570063670068994,0.09027061063910269
BAJAJFINSV.NS,Bajaj Finserv,Company,NBFC,0.0007251651635776987,0.18274162122158008,0.017520173520461733,0.27812413237104455,-0.07079209968367806,0.11453377652010421
BAJFINANCE.NS,Bajaj Finance,Company,NBFC,0.0007042720751909138,0.17747656294811026,0.018407916339616987,0.2922166127370537,-0.07727314633091797,0.10634961769930062
CL=F,Crude Oil,Commodity,Energy,0.0008014814920803158,0.20197333600423958,0.025936717249602285,0.411732622007081,-0.16414337128869982,0.15545337509042567
DLF.NS,DLF,Company,Realty,0.0010007932600876806,0.2521999015420955,0.021823100443712096,0.34643097966267317,-0.12213074491229048,0.11596609258093937
DRREDDY.NS,Dr Reddy's,Company,Pharma,0.0002160214474502748,0.05443740475746925,0.01409735643950994,0.22378859569426965,-0.10494792829601785,0.09367297618069448
GC=F,Gold,Commodity,Safe Haven,0.000647879452524774,0.16326562203624306,0.011753615341162538,0.18658285919177803,-0.11366200569716556,0.06083292489183334
GODREJPROP.NS,Godrej Properties,Company,Realty,0.000546078545543249,0.13761179347689875,0.023894668853838938,0.37931610868499166,-0.12844255783934067,0.1319583237292734
HCLTECH.NS,HCL Tech,Company,IT,0.000523747401958091,0.13198434529343894,0.01585238068079288,0.2516487418182165,-0.10817364730836876,0.07709981476165217
HDFCBANK.NS,HDFC Bank,Company,Banking,0.00014761331971876107,0.03719855656912779,0.01365432953418279,0.21675576160063248,-0.08435809981827369,0.10013290514501594
HINDUNILVR.NS,Hindustan Unilever,Company,FMCG,8.535825792035019e-06,0.0021510280995928246,0.012986945192136185,0.20616136361290976,-0.0740040201443275,0.059595169742935106
ICICIBANK.NS,ICICI Bank,Company,Banking,0.0008359063509356872,0.21064840043579316,0.013867909252821496,0.22014623452426343,-0.07633626236988356,0.12439477401874788
INFY.NS,Infosys,Company,IT,0.00015803523688473256,0.0398248796949526,0.01594739218346873,0.2531570026648416,-0.09422691710447084,0.07934008248304081
INR=X,USD/INR,Currency,Macro,0.00019346556769439687,0.04875332305898801,0.0032771937801121735,0.05202383844206703,-0.022850212975397577,0.02301712209887974
ITC.NS,ITC,Company,FMCG,0.0004565653980334373,0.1150544803044262,0.01293049493552832,0.20526524357032863,-0.09714640105888173,0.06828699747418798
M&M.NS,Mahindra & Mahindra,Company,Auto,0.0012576884226167442,0.31693748249941955,0.018071664977667292,0.28687878784669973,-0.06614253924282665,0.07950767053856955
MARUTI.NS,Maruti Suzuki,Company,Auto,0.0005234907805252177,0.13191967669235488,0.014928913324117471,0.2369891520003206,-0.06599008193420974,0.08750771650123457
ONGC.NS,ONGC,Company,Energy,0.0010675924931279343,0.26903330826823946,0.019700384299387034,0.3127339055314771,-0.1682506545721142,0.13131610431387708
RELIANCE.NS,Reliance,Company,Energy,0.0003717199515871263,0.09367342779995583,0.014341295411067883,0.2276610068171847,-0.07485139657931561,0.07019211375715795
SBIN.NS,SBI,Company,Banking,0.0011469160201538332,0.28902283707876597,0.016593754847827994,0.26341769186475195,-0.14404019893146525,0.10701214074629717
SUNPHARMA.NS,Sun Pharma,Company,Pharma,0.0009682470505014577,0.24399825672636735,0.01323277434747347,0.2100637804730989,-0.04552700421016087,0.10092456313653275
TCS.NS,TCS,Company,IT,4.0297345427734116e-05,0.010154931047788997,0.014163754491913066,0.2248426320994559,-0.08386122221554515,0.06711446052238101
TMPV.NS,Tata Motors Passenger Vehicles,Company,Auto,0.0009733215042513319,0.24527701907133562,0.022081139086343723,0.3505272161249609,-0.10283005740048756,0.20446702847125153
WIPRO.NS,Wipro,Company,IT,0.00013045385108912663,0.03287437047445991,0.016476311789377727,0.26155334110953055,-0.09224707701900947,0.08938940742646606
^NSEBANK,Bank Nifty,Index,Banking,0.000503496588194145,0.12688114022492453,0.011421617343180333,0.1813125543611846,-0.07946943295031661,0.08256213004063939
^NSEI,NIFTY 50,Index,Market,0.00042311905606708984,0.10662600212890663,0.008908917663767267,0.14142468353447243,-0.05929359941641077,0.047423511101338356
