ticker,name,sector,in_degree,out_degree,betweenness,pagerank
^NSEI,NIFTY 50,Market,0.72,0.76,0.26951587301587304,0.12583739808683647
^NSEBANK,Bank Nifty,Banking,0.52,0.56,0.031182539682539683,0.08553836506645088
INR=X,USD/INR,Macro,0.4,0.0,0.0,0.021620932326104448
CL=F,Crude Oil,Energy,0.0,0.08,0.0,0.007818975666309997
GC=F,Gold,Safe Haven,0.0,0.08,0.0,0.007818975666309997
HDFCBANK.NS,HDFC Bank,Banking,0.32,0.36,0.0007936507936507937,0.04620294404706444
ICICIBANK.NS,ICICI Bank,Banking,0.32,0.32,0.0,0.04949633830041659
SBIN.NS,SBI,Banking,0.44,0.48,0.012015873015873015,0.06024188284670042
AXISBANK.NS,Axis Bank,Banking,0.32,0.32,0.0,0.04706722091102662
TCS.NS,TCS,IT,0.16,0.16,0.0,0.03964358612704363
INFY.NS,Infosys,IT,0.16,0.16,0.0,0.040488851998430206
HCLTECH.NS,HCL Tech,IT,0.16,0.16,0.0,0.038935685326622595
WIPRO.NS,Wipro,IT,0.16,0.16,0.0,0.03766902806324323
RELIANCE.NS,Reliance,Energy,0.16,0.2,0.0,0.026244207292623632
ONGC.NS,ONGC,Energy,0.08,0.0,0.0,0.01533168282635125
TMPV.NS,Tata Motors Passenger Vehicles,Auto,0.28,0.32,0.005277777777777778,0.03995040880943358
M&M.NS,Mahindra & Mahindra,Auto,0.24,0.24,0.0025,0.036077987469946164
MARUTI.NS,Maruti Suzuki,Auto,0.16,0.16,0.0,0.02590911844894784
DLF.NS,DLF,Realty,0.48,0.52,0.018126984126984127,0.06610708968672305
GODREJPROP.NS,Godrej Properties,Realty,0.28,0.32,0.0014603174603174604,0.03971415309736912
SUNPHARMA.NS,Sun Pharma,Pharma,0.0,0.0,0.0,0.007818975666309997
DRREDDY.NS,Dr Reddy's,Pharma,0.0,0.0,0.0,0.007818975666309997
HINDUNILVR.NS,Hindustan Unilever,FMCG,0.04,0.0,0.0,0.010107774865995012
ITC.NS,ITC,FMCG,0.04,0.04,0.0,0.012200621570275821
BAJFINANCE.NS,Bajaj Finance,NBFC,0.36,0.36,0.0016666666666666668,0.049871096272137386
BAJAJFINSV.NS,Bajaj Finserv,NBFC,0.4,0.44,0.0074603174603174605,0.05446772389501766
