source,target,ml_importance,source_name,target_name
CL=F,ONGC.NS,0.24526478327292303,Crude Oil,ONGC
CL=F,HINDUNILVR.NS,0.2268809330191468,Crude Oil,Hindustan Unilever
GC=F,INR=X,0.17517836950868695,Gold,USD/INR
ITC.NS,ICICIBANK.NS,0.13124255568225235,ITC,ICICI Bank
SUNPHARMA.NS,HCLTECH.NS,0.12768657110651319,Sun Pharma,HCL Tech
ITC.NS,SBIN.NS,0.12438230639260521,ITC,SBI
HCLTECH.NS,TMPV.NS,0.11783352560496912,HCL Tech,Tata Motors Passenger Vehicles
ICICIBANK.NS,^NSEI,0.10455197792462816,ICICI Bank,NIFTY 50
BAJFINANCE.NS,TCS.NS,0.09970406344226063,Bajaj Finance,TCS
SBIN.NS,ITC.NS,0.09680623132905578,SBI,ITC
GC=F,DRREDDY.NS,0.09503661731796273,Gold,Dr Reddy's
RELIANCE.NS,ITC.NS,0.09370375772184994,Reliance,ITC
SUNPHARMA.NS,MARUTI.NS,0.09296162361038544,Sun Pharma,Maruti Suzuki
AXISBANK.NS,GC=F,0.09292567855440258,Axis Bank,Gold
SUNPHARMA.NS,M&M.NS,0.09261237598956434,Sun Pharma,Mahindra & Mahindra
SUNPHARMA.NS,BAJFINANCE.NS,0.08742015282824216,Sun Pharma,Bajaj Finance
INR=X,CL=F,0.08719864270706613,USD/INR,Crude Oil
RELIANCE.NS,CL=F,0.08710547766408988,Reliance,Crude Oil
ICICIBANK.NS,BAJAJFINSV.NS,0.08626100247735123,ICICI Bank,Bajaj Finserv
^NSEI,MARUTI.NS,0.08537482413785788,NIFTY 50,Maruti Suzuki
ONGC.NS,HINDUNILVR.NS,0.08274141281362127,ONGC,Hindustan Unilever
GC=F,TCS.NS,0.08175939216144475,Gold,TCS
GC=F,WIPRO.NS,0.08173352616877733,Gold,Wipro
SUNPHARMA.NS,BAJAJFINSV.NS,0.08170609264169766,Sun Pharma,Bajaj Finserv
GODREJPROP.NS,GC=F,0.08148175806177864,Godrej Properties,Gold
^NSEI,^NSEBANK,0.08119083906326029,NIFTY 50,Bank Nifty
DLF.NS,SBIN.NS,0.08117919930485046,DLF,SBI
SUNPHARMA.NS,INFY.NS,0.08031194073368071,Sun Pharma,Infosys
RELIANCE.NS,ONGC.NS,0.08018579755951048,Reliance,ONGC
HCLTECH.NS,DLF.NS,0.0798745692425469,HCL Tech,DLF
ICICIBANK.NS,TMPV.NS,0.07886825439577384,ICICI Bank,Tata Motors Passenger Vehicles
RELIANCE.NS,HINDUNILVR.NS,0.07873824204492572,Reliance,Hindustan Unilever
RELIANCE.NS,BAJFINANCE.NS,0.07818440090564166,Reliance,Bajaj Finance
DLF.NS,GODREJPROP.NS,0.07759974881687522,DLF,Godrej Properties
ICICIBANK.NS,M&M.NS,0.07715837383177648,ICICI Bank,Mahindra & Mahindra
^NSEBANK,SUNPHARMA.NS,0.07649361619938816,Bank Nifty,Sun Pharma
^NSEBANK,CL=F,0.07538551404876663,Bank Nifty,Crude Oil
SUNPHARMA.NS,^NSEBANK,0.07456938142828025,Sun Pharma,Bank Nifty
CL=F,MARUTI.NS,0.07345209350962917,Crude Oil,Maruti Suzuki
MARUTI.NS,GODREJPROP.NS,0.07327057351467194,Maruti Suzuki,Godrej Properties
DLF.NS,SUNPHARMA.NS,0.07255071807719425,DLF,Sun Pharma
^NSEI,HDFCBANK.NS,0.07193726614115761,NIFTY 50,HDFC Bank
ONGC.NS,SBIN.NS,0.07157506313172018,ONGC,SBI
