ticker,shock,name,sector,shock_pct,absolute_impact_pct
DLF.NS,-0.14360486807199604,DLF,Realty,-14.360486807199605,14.360486807199605
BAJAJFINSV.NS,-0.13892892561051087,Bajaj Finserv,NBFC,-13.892892561051088,13.892892561051088
BAJFINANCE.NS,-0.13666787172580716,Bajaj Finance,NBFC,-13.666787172580715,13.666787172580715
^NSEBANK,-0.13114643966996414,Bank Nifty,Banking,-13.114643966996415,13.114643966996415
GODREJPROP.NS,-0.12872165933456292,Godrej Properties,Realty,-12.872165933456293,12.872165933456293
^NSEI,-0.06153500451760835,NIFTY 50,Market,-6.153500451760835,6.153500451760835
SBIN.NS,-0.03361267335630509,SBI,Banking,-3.3612673356305094,3.3612673356305094
ICICIBANK.NS,-0.03355197535404585,ICICI Bank,Banking,-3.355197535404585,3.355197535404585
AXISBANK.NS,-0.03195385763807792,Axis Bank,Banking,-3.195385763807792,3.195385763807792
HDFCBANK.NS,-0.030325663632410217,HDFC Bank,Banking,-3.032566363241022,3.032566363241022
TMPV.NS,-0.021391971537249747,Tata Motors Passenger Vehicles,Auto,-2.1391971537249748,2.1391971537249748
M&M.NS,-0.01817796617804036,Mahindra & Mahindra,Auto,-1.8177966178040361,1.8177966178040361
RELIANCE.NS,-0.012235355948480953,Reliance,Energy,-1.2235355948480953,1.2235355948480953
MARUTI.NS,-0.0066351553852042125,Maruti Suzuki,Auto,-0.6635155385204212,0.6635155385204212
INR=X,0.005068553983787817,USD/INR,Macro,0.5068553983787817,0.5068553983787817
WIPRO.NS,-0.0008974600755228108,Wipro,IT,-0.08974600755228107,0.08974600755228107
INFY.NS,-0.0008796989478812603,Infosys,IT,-0.08796989478812603,0.08796989478812603
TCS.NS,-0.0008425277878998074,TCS,IT,-0.08425277878998073,0.08425277878998073
HCLTECH.NS,-0.000828165716087038,HCL Tech,IT,-0.0828165716087038,0.0828165716087038
ITC.NS,-0.000768047129614074,ITC,FMCG,-0.07680471296140741,0.07680471296140741
CL=F,0.0,Crude Oil,Energy,0.0,0.0
GC=F,0.0,Gold,Safe Haven,0.0,0.0
ONGC.NS,0.0,ONGC,Energy,0.0,0.0
SUNPHARMA.NS,0.0,Sun Pharma,Pharma,0.0,0.0
DRREDDY.NS,0.0,Dr Reddy's,Pharma,0.0,0.0
HINDUNILVR.NS,0.0,Hindustan Unilever,FMCG,0.0,0.0
