source,target,correlation,strength,source_name,target_name
^NSEBANK,^NSEI,0.8710093754026812,0.8710093754026812,Bank Nifty,NIFTY 50
ICICIBANK.NS,^NSEBANK,0.8107654320760751,0.8107654320760751,ICICI Bank,Bank Nifty
HDFCBANK.NS,^NSEBANK,0.7897290090838442,0.7897290090838442,HDFC Bank,Bank Nifty
BAJAJFINSV.NS,BAJFINANCE.NS,0.7796695089681975,0.7796695089681975,Bajaj Finserv,Bajaj Finance
SBIN.NS,^NSEBANK,0.7520125031024422,0.7520125031024422,SBI,Bank Nifty
AXISBANK.NS,^NSEBANK,0.7499013589094095,0.7499013589094095,Axis Bank,Bank Nifty
INFY.NS,TCS.NS,0.7201836318271244,0.7201836318271244,Infosys,TCS
HDFCBANK.NS,^NSEI,0.7102698125738366,0.7102698125738366,HDFC Bank,NIFTY 50
DLF.NS,GODREJPROP.NS,0.703059249476117,0.703059249476117,DLF,Godrej Properties
HCLTECH.NS,INFY.NS,0.692097957905166,0.692097957905166,HCL Tech,Infosys
ICICIBANK.NS,^NSEI,0.6853422189371944,0.6853422189371944,ICICI Bank,NIFTY 50
RELIANCE.NS,^NSEI,0.6757367216336178,0.6757367216336178,Reliance,NIFTY 50
HCLTECH.NS,TCS.NS,0.6667515936638665,0.6667515936638665,HCL Tech,TCS
DLF.NS,^NSEI,0.6646746683758347,0.6646746683758347,DLF,NIFTY 50
SBIN.NS,^NSEI,0.6511635479532141,0.6511635479532141,SBI,NIFTY 50
BAJAJFINSV.NS,^NSEI,0.6364417700966231,0.6364417700966231,Bajaj Finserv,NIFTY 50
BAJFINANCE.NS,^NSEI,0.6273961007555183,0.6273961007555183,Bajaj Finance,NIFTY 50
INFY.NS,WIPRO.NS,0.6271067249092726,0.6271067249092726,Infosys,Wipro
AXISBANK.NS,^NSEI,0.6234557890912761,0.6234557890912761,Axis Bank,NIFTY 50
AXISBANK.NS,ICICIBANK.NS,0.613454040601047,0.613454040601047,Axis Bank,ICICI Bank
DLF.NS,^NSEBANK,0.6121201119926072,0.6121201119926072,DLF,Bank Nifty
TCS.NS,WIPRO.NS,0.6091806458580048,0.6091806458580048,TCS,Wipro
HCLTECH.NS,WIPRO.NS,0.5931337869817648,0.5931337869817648,HCL Tech,Wipro
M&M.NS,^NSEI,0.5875194839192771,0.5875194839192771,Mahindra & Mahindra,NIFTY 50
BAJFINANCE.NS,^NSEBANK,0.5806579870600905,0.5806579870600905,Bajaj Finance,Bank Nifty
GODREJPROP.NS,^NSEI,0.5790139165822273,0.5790139165822273,Godrej Properties,NIFTY 50
BAJAJFINSV.NS,^NSEBANK,0.5745560766334992,0.5745560766334992,Bajaj Finserv,Bank Nifty
TMPV.NS,^NSEI,0.572079068750883,0.572079068750883,Tata Motors Passenger Vehicles,NIFTY 50
DLF.NS,SBIN.NS,0.5517564105983596,0.5517564105983596,DLF,SBI
ICICIBANK.NS,SBIN.NS,0.5482105476938813,0.5482105476938813,ICICI Bank,SBI
AXISBANK.NS,SBIN.NS,0.545243903864372,0.545243903864372,Axis Bank,SBI
HDFCBANK.NS,ICICIBANK.NS,0.5388214372727272,0.5388214372727272,HDFC Bank,ICICI Bank
WIPRO.NS,^NSEI,0.5277434950499413,0.5277434950499413,Wipro,NIFTY 50
INFY.NS,^NSEI,0.5172992203315149,0.5172992203315149,Infosys,NIFTY 50
MARUTI.NS,^NSEI,0.512368391886644,0.512368391886644,Maruti Suzuki,NIFTY 50
DLF.NS,TMPV.NS,0.5070862210885546,0.5070862210885546,DLF,Tata Motors Passenger Vehicles
GODREJPROP.NS,^NSEBANK,0.4991604001302331,0.4991604001302331,Godrej Properties,Bank Nifty
TCS.NS,^NSEI,0.4954410470058159,0.4954410470058159,TCS,NIFTY 50
RELIANCE.NS,^NSEBANK,0.4919394606729866,0.4919394606729866,Reliance,Bank Nifty
M&M.NS,TMPV.NS,0.4918195569616258,0.4918195569616258,Mahindra & Mahindra,Tata Motors Passenger Vehicles
M&M.NS,^NSEBANK,0.4914602709114511,0.4914602709114511,Mahindra & Mahindra,Bank Nifty
HCLTECH.NS,^NSEI,0.4869955571379644,0.4869955571379644,HCL Tech,NIFTY 50
M&M.NS,MARUTI.NS,0.48288320615235325,0.48288320615235325,Mahindra & Mahindra,Maruti Suzuki
BAJAJFINSV.NS,DLF.NS,0.4750691518687857,0.4750691518687857,Bajaj Finserv,DLF
TMPV.NS,^NSEBANK,0.46662919020636956,0.46662919020636956,Tata Motors Passenger Vehicles,Bank Nifty
DLF.NS,ICICIBANK.NS,0.46117166256674597,0.46117166256674597,DLF,ICICI Bank
AXISBANK.NS,HDFCBANK.NS,0.46021215446993713,0.46021215446993713,Axis Bank,HDFC Bank
BAJFINANCE.NS,DLF.NS,0.4525926076553232,0.4525926076553232,Bajaj Finance,DLF
ITC.NS,^NSEI,0.4516433517217829,0.4516433517217829,ITC,NIFTY 50
BAJAJFINSV.NS,ICICIBANK.NS,0.4495208552078728,0.4495208552078728,Bajaj Finserv,ICICI Bank
BAJFINANCE.NS,ICICIBANK.NS,0.4487210247528731,0.4487210247528731,Bajaj Finance,ICICI Bank
