source,target,best_lag,lag_correlation,lag_strength,source_name,target_name,source_sector,target_sector
CL=F,ONGC.NS,1,0.24724715493481883,0.24724715493481883,Crude Oil,ONGC,Energy,Energy
^NSEI,INR=X,1,-0.14967329325237838,0.14967329325237838,NIFTY 50,USD/INR,Market,Macro
GODREJPROP.NS,INR=X,1,-0.13211937707208213,0.13211937707208213,Godrej Properties,USD/INR,Realty,Macro
CL=F,HINDUNILVR.NS,1,-0.129873216294936,0.129873216294936,Crude Oil,Hindustan Unilever,Energy,FMCG
^NSEBANK,INR=X,1,-0.1296102035106274,0.1296102035106274,Bank Nifty,USD/INR,Banking,Macro
DLF.NS,INR=X,1,-0.12888696595344631,0.12888696595344631,DLF,USD/INR,Realty,Macro
GC=F,INR=X,1,-0.12622955124237248,0.12622955124237248,Gold,USD/INR,Safe Haven,Macro
SBIN.NS,INR=X,1,-0.1237310825957255,0.1237310825957255,SBI,USD/INR,Banking,Macro
^NSEBANK,SBIN.NS,4,0.1159061658064732,0.1159061658064732,Bank Nifty,SBI,Banking,Banking
GC=F,ONGC.NS,1,0.11410308740635179,0.11410308740635179,Gold,ONGC,Safe Haven,Energy
RELIANCE.NS,INR=X,1,-0.11182503040132868,0.11182503040132868,Reliance,USD/INR,Energy,Macro
TMPV.NS,INR=X,1,-0.1112160414773802,0.1112160414773802,Tata Motors Passenger Vehicles,USD/INR,Auto,Macro
BAJAJFINSV.NS,INR=X,1,-0.10858812874192732,0.10858812874192732,Bajaj Finserv,USD/INR,NBFC,Macro
ICICIBANK.NS,SBIN.NS,4,0.10418802554054314,0.10418802554054314,ICICI Bank,SBI,Banking,Banking
HDFCBANK.NS,INR=X,1,-0.10384266864875427,0.10384266864875427,HDFC Bank,USD/INR,Banking,Macro
HDFCBANK.NS,SBIN.NS,4,0.10190651474902625,0.10190651474902625,HDFC Bank,SBI,Banking,Banking
